measurement_group,column_name,order,abbr,unit,abbr_unit
Physical,density_g_ml,1,Density,g/ml,Density (g/ml)
Physical,density2_mlb_ac,2,Density 2,mill-lbs/ac,Density 2 (mill-lbs/ac)
Biological,om_percent,3,OM,%,OM (%)
Chemical,ph,4,pH,,pH
Chemical,ph_ae,5,pH (A-E),,pH (A-E)
Chemical,ec_mmhos_cm,6,EC,mmhos/cm,EC (mmhos/cm)
Chemical,est_ss_ds_m,7,Est. SS,dS/m,Est. SS (dS/m)
Chemical,effervescence,8,Efferves.,0-7,Efferves. (0-7)
Chemical,cec_meq_100g,9,CEC,cmolc/kg,CEC (cmolc/kg)
Chemical,est_cec_meq_100g,10,Est CEC,cmolc/kg,Est CEC (cmolc/kg)
Chemical,total_bases_meq_100g,11,Total Bases,cmolc/kg,Total Bases (cmolc/kg)
Plant Essential Macro Nutrients,no3_n_mg_kg,12,NO₃-N,ppm,NO₃-N (ppm)
Plant Essential Macro Nutrients,no3_n_lb_ac,13,NO₃-N mass,lb/ac,NO₃-N mass (lb/ac)
Plant Essential Macro Nutrients,nh4_n_mg_kg,14,NH₄-N,ppm,NH₄-N (ppm)
Plant Essential Macro Nutrients,nh4_n_lb_ac,15,NH₄-N mass,lb/ac,NH₄-N mass (lb/ac)
Plant Essential Macro Nutrients,p_olsen_mg_kg,16,P (Olsen),ppm,P (Olsen) (ppm)
Plant Essential Macro Nutrients,bray_p_mg_kg,17,P (Bray),ppm,P (Bray) (ppm)
Plant Essential Macro Nutrients,k_mg_kg,18,K,ppm,K (ppm)
Plant Essential Macro Nutrients,exch_k_meq_100g,19,Exch K,cmolc/kg,Exch K (cmolc/kg)
Plant Essential Macro Nutrients,ca_mg_kg,20,Ca,ppm,Ca (ppm)
Plant Essential Macro Nutrients,mg_mg_kg,21,Mg,ppm,Mg (ppm)
Plant Essential Macro Nutrients,na_mg_kg,22,Na,ppm,Na (ppm)
Plant Essential Macro Nutrients,s_mg_kg,23,S,ppm,S (ppm)
Plant Essential Macro Nutrients,s_lb_ac,24,S mass,lb/ac,S mass (lb/ac)
Plant Essential Micro Nutrients,b_mg_kg,25,B,ppm,B (ppm)
Plant Essential Micro Nutrients,cl_mg_kg,26,Cl,ppm,Cl (ppm)
Plant Essential Micro Nutrients,cu_mg_kg,27,Cu,ppm,Cu (ppm)
Plant Essential Micro Nutrients,fe_mg_kg,28,Fe,ppm,Fe (ppm)
Plant Essential Micro Nutrients,mn_mg_kg,29,Mn,ppm,Mn (ppm)
Plant Essential Micro Nutrients,zn_mg_kg,30,Zn,ppm,Zn (ppm)
Plant Essential Micro Nutrients,al_mg_kg,31,Al,ppm,Al (ppm)
Plant Essential Micro Nutrients,al_kcl_mg_kg,32,Al (KCl),ppm,Al (KCl) (ppm)
Plant Essential Macro Nutrients,ca_kcl_mg_kg,33,Ca (KCl),ppm,Ca (KCl) (ppm)
Plant Essential Macro Nutrients,mg_kcl_mg_kg,34,Mg (KCl),ppm,Mg (KCl) (ppm)
Plant Essential Macro Nutrients,na_kcl_mg_kg,35,Na (KCl),ppm,Na (KCl) (ppm)
Physical,wilting_point,36,Wilting Pt,,Wilting Pt
Physical,field_capacity,37,Field Cap,,Field Cap
Physical,h2o_wet_dry,38,H₂O w/d,,H₂O w/d
Physical,avl_h2o_in,39,Avl H₂O length,in,Avl H₂O length (in)
Physical,avl_h2o_percent,40,Avl H₂O,%,Avl H₂O (%)
