variety,yield_bu_ac,test_weight_lb_bu,protein_pct,height_in,maturity_days,trial_name,trial_year,location,wheat_class,planted_date,harvested_date,source,source_url
LCS Missile,86,60.6,12.3,31,143,2023 Dayton Winter Wheat Trial - HRW,2023,"Dayton, WA",HRW,10/6/2022,8/3/2023,nwgg_dayton_hrw_2023,https://inetsgi.com/customer/780/fa395e67.pdf
LCS Rocket,85,58.5,12.1,29,148,2023 Dayton Winter Wheat Trial - HRW,2023,"Dayton, WA",HRW,10/6/2022,8/3/2023,nwgg_dayton_hrw_2023,https://inetsgi.com/customer/780/fa395e67.pdf
LWH19-5663,85,59.8,12.3,31,144,2023 Dayton Winter Wheat Trial - HRW,2023,"Dayton, WA",HRW,10/6/2022,8/3/2023,nwgg_dayton_hrw_2023,https://inetsgi.com/customer/780/fa395e67.pdf
Keldin,84,61.8,12.2,31,143,2023 Dayton Winter Wheat Trial - HRW,2023,"Dayton, WA",HRW,10/6/2022,8/3/2023,nwgg_dayton_hrw_2023,https://inetsgi.com/customer/780/fa395e67.pdf
LWH20-0490,84,61.6,11.4,30,144,2023 Dayton Winter Wheat Trial - HRW,2023,"Dayton, WA",HRW,10/6/2022,8/3/2023,nwgg_dayton_hrw_2023,https://inetsgi.com/customer/780/fa395e67.pdf
WB4394,83,62.1,12,36,151,2023 Dayton Winter Wheat Trial - HRW,2023,"Dayton, WA",HRW,10/6/2022,8/3/2023,nwgg_dayton_hrw_2023,https://inetsgi.com/customer/780/fa395e67.pdf
Scorpio,83,60.6,12.7,28,145,2023 Dayton Winter Wheat Trial - HRW,2023,"Dayton, WA",HRW,10/6/2022,8/3/2023,nwgg_dayton_hrw_2023,https://inetsgi.com/customer/780/fa395e67.pdf
WA8399,83,58.9,11.5,30,146,2023 Dayton Winter Wheat Trial - HRW,2023,"Dayton, WA",HRW,10/6/2022,8/3/2023,nwgg_dayton_hrw_2023,https://inetsgi.com/customer/780/fa395e67.pdf
LCS Blackbird,82,58.4,12.8,28,145,2023 Dayton Winter Wheat Trial - HRW,2023,"Dayton, WA",HRW,10/6/2022,8/3/2023,nwgg_dayton_hrw_2023,https://inetsgi.com/customer/780/fa395e67.pdf
LCS Jet,81,60,12.4,30,146,2023 Dayton Winter Wheat Trial - HRW,2023,"Dayton, WA",HRW,10/6/2022,8/3/2023,nwgg_dayton_hrw_2023,https://inetsgi.com/customer/780/fa395e67.pdf
Milestone,81,59.6,12.5,30,148,2023 Dayton Winter Wheat Trial - HRW,2023,"Dayton, WA",HRW,10/6/2022,8/3/2023,nwgg_dayton_hrw_2023,https://inetsgi.com/customer/780/fa395e67.pdf
WB4303,81,59.8,12.8,30,145,2023 Dayton Winter Wheat Trial - HRW,2023,"Dayton, WA",HRW,10/6/2022,8/3/2023,nwgg_dayton_hrw_2023,https://inetsgi.com/customer/780/fa395e67.pdf
WB4311,81,62.3,12.9,30,144,2023 Dayton Winter Wheat Trial - HRW,2023,"Dayton, WA",HRW,10/6/2022,8/3/2023,nwgg_dayton_hrw_2023,https://inetsgi.com/customer/780/fa395e67.pdf
