year,sample_id,farm_name,producer_id,field_name,field_id,county,crop,longitude,latitude,sample_date,depth,start_depth_inches,end_depth_inches,huc8_name,hc12_name,huc12,density_g_ml,density2_mlb_ac,om_percent,ph,ph_ae,ec_mmhos_cm,est_ss_ds_m,effervescence,cec_meq_100g,est_cec_meq_100g,total_bases_meq_100g,no3_n_mg_kg,no3_n_lb_ac,nh4_n_mg_kg,nh4_n_lb_ac,p_olsen_mg_kg,bray_p_mg_kg,k_mg_kg,exch_k_meq_100g,ca_mg_kg,mg_mg_kg,na_mg_kg,s_mg_kg,s_lb_ac,b_mg_kg,cl_mg_kg,cu_mg_kg,fe_mg_kg,mn_mg_kg,zn_mg_kg,al_mg_kg,al_kcl_mg_kg,ca_kcl_mg_kg,mg_kcl_mg_kg,na_kcl_mg_kg,wilting_point,field_capacity,h2o_wet_dry,avl_h2o_in,avl_h2o_percent
2013,COLUMBIA CONSERVATION DISTRICT-13-14-NA-NA-2013-03-19-0-3,,COLUMBIA CONSERVATION DISTRICT,,13-14,Columbia,,,,2013-03-19,0-3,0,3,,,,1.02,0.6937,5.2,6.8,,0.24,0.624,0,,21.8,17.6402,7.1,4.9246,4.9,3.3986,39,49.6,438,1.1202,13.2,3.3,0.02,4,2.7744,0.43,2.5,0.79,32,4.1,1.55,2,,2640,401.28,4.6,1.06,0.2,1.2615,0.6166,102.7667
2013,COLUMBIA CONSERVATION DISTRICT-13-14-NA-NA-2013-03-19-3-6,,COLUMBIA CONSERVATION DISTRICT,,13-14,Columbia,,,,2013-03-19,3-6,3,6,,,,1.12,0.7617,4.5,6.7,,0.15,0.39,0,,20.3,16.5019,3.8,2.8941,2.6,1.9802,34,44,380,0.9719,12.4,3.1,0.03,3,2.2848,0.29,2.9,0.76,32,2.9,0.56,1,,2480,376.96,6.9,1.06,0.2,1.2316,0.5766,96.1
2013,COLUMBIA CONSERVATION DISTRICT-13-14-NA-NA-2013-03-19-6-12,,COLUMBIA CONSERVATION DISTRICT,,13-14,Columbia,,,,2013-03-19,6-12,6,12,,,,1.17,1.5914,3.68,6.7,,0.12,0.312,0,,19.7,16.039,2.7,4.2962,2.1,3.3415,15,35.2,199,0.509,12.2,3.3,0.03,2,3.1824,0.23,4.3,0.85,33,3,0.26,1,,2440,401.28,6.9,1.06,0.2,1.2228,1.1429,95.2417
2013,COLUMBIA CONSERVATION DISTRICT-13-14-NA-NA-2013-03-19-12-24,,COLUMBIA CONSERVATION DISTRICT,,13-14,Columbia,,,,2013-03-19,12-24,12,24,,,,1.26,3.4277,2.52,6.9,,0.1,0.26,0,,20.1,16.5101,1.7,5.8262,1.6,5.4835,17,28.8,305,0.7801,11.9,3.8,0.03,2,6.8544,0.18,3.1,0.93,27,2.2,0.17,2,,2380,462.08,6.9,1.06,0.2,1.2094,2.2589,94.1208
2013,COLUMBIA CONSERVATION DISTRICT-13-15-46.39428--118.08877-2013-03-19-0-3,,COLUMBIA CONSERVATION DISTRICT,Sheep Camp,13-15,Columbia,,-118.0887693,46.39427913,2013-03-19,0-3,0,3,Touchet,McKay Creek,170701020502,1.25,0.8501,3.18,5.5,7.29,0.12,0.312,0,,16.3,11.6573,3.1,2.635,2.7,2.295,28,39.2,562,1.4373,7.7,2.5,0.02,4,3.4,0.1,2,1.22,68,14.6,0.35,14,3,1540,304,4.6,1.06,0.2,1.2377,0.6664,111.0667
2013,COLUMBIA CONSERVATION DISTRICT-13-15-46.39428--118.08877-2013-03-19-3-6,,COLUMBIA CONSERVATION DISTRICT,Sheep Camp,13-15,Columbia,,-118.0887693,46.39427913,2013-03-19,3-6,3,6,Touchet,McKay Creek,170701020502,1.32,0.8977,2.14,5,7.17,0.1,0.26,0,,15.3,10.4694,3,2.6928,4.7,4.2187,34,43.2,250,0.6394,7.6,2.2,0.03,6,5.3856,0.06,1.2,1.47,75,27.9,0.31,15,54,1520,267.52,6.9,1.06,0.2,1.2086,0.5885,98.0833
2013,COLUMBIA CONSERVATION DISTRICT-13-15-46.39428--118.08877-2013-03-19-6-12,,COLUMBIA CONSERVATION DISTRICT,Sheep Camp,13-15,Columbia,,-118.0887693,46.39427913,2013-03-19,6-12,6,12,Touchet,McKay Creek,170701020502,1.41,1.9179,1.74,5.9,7.66,0.1,0.26,0,,19.4,14.328,3,5.7528,2.1,4.027,25,41.6,269,0.688,10.2,3.4,0.04,3,5.7528,0.09,2.5,1.35,41,5.1,0.17,2,,2040,413.44,9.2,1.06,0.2,1.199,1.1759,97.9917
2013,COLUMBIA CONSERVATION DISTRICT-13-15-46.39428--118.08877-2013-03-19-12-24,,COLUMBIA CONSERVATION DISTRICT,Sheep Camp,13-15,Columbia,,-118.0887693,46.39427913,2013-03-19,12-24,12,24,Touchet,McKay Creek,170701020502,1.24,3.3733,1.22,6.7,,0.1,0.26,0,,18.4,14.3845,3.2,10.793,1.4,4.7219,23,42.4,252,0.6445,9.9,3.8,0.04,3,10.1184,0.12,2.7,1.34,22,1.6,0.11,0,,1980,462.08,9.2,1.06,0.2,1.1733,1.6859,70.2458
2013,COLUMBIA CONSERVATION DISTRICT-13-49-NA-NA-2013-03-19-0-3,,COLUMBIA CONSERVATION DISTRICT,,13-49,Columbia,,,,2013-03-19,0-3,0,3,,,,1.28,0.8705,3,5.4,7.23,0.13,0.338,0,,14.8,10.5438,7.4,6.441,3.3,2.8723,31,41.6,631,1.6138,6.9,2,0.03,4,3.4816,0.09,2.2,1.1,86,15.7,0.53,24,7,1380,243.2,6.9,1.06,0.2,1.2123,0.5848,97.4667
2013,COLUMBIA CONSERVATION DISTRICT-13-49-NA-NA-2013-03-19-3-6,,COLUMBIA CONSERVATION DISTRICT,,13-49,Columbia,,,,2013-03-19,3-6,3,6,,,,1.27,0.8637,2.26,5,7.2,0.15,0.39,0,,15.8,10.8101,9.5,8.2042,18,15.5448,32,50.4,305,0.7801,8,2,0.03,4,3.4544,0.08,1.4,1.28,78,28.4,0.72,23,36,1600,243.2,6.9,1.06,0.2,1.1971,0.5224,87.0667
2013,COLUMBIA CONSERVATION DISTRICT-13-49-NA-NA-2013-03-19-6-12,,COLUMBIA CONSERVATION DISTRICT,,13-49,Columbia,,,,2013-03-19,6-12,6,12,,,,1.26,1.7139,1.7,6,7.48,0.13,0.338,0,,19.5,14.4661,8.4,14.3942,3.3,5.6549,19,36,323,0.8261,10.3,3.3,0.04,3,5.1408,0.11,1.7,1.19,39,5.2,0.29,3,1,2060,401.28,9.2,1.06,0.2,1.1873,0.9624,80.2
2013,COLUMBIA CONSERVATION DISTRICT-13-49-NA-NA-2013-03-19-12-24,,COLUMBIA CONSERVATION DISTRICT,,13-49,Columbia,,,,2013-03-19,12-24,12,24,,,,1.27,3.4549,1.32,6.8,,0.12,0.312,0,,18.8,14.7947,5.6,19.3446,1.3,4.4907,16,33.6,256,0.6547,9.9,4.2,0.04,2,6.9088,0.11,2.3,1.15,21,1.5,0.11,0,,1980,510.72,9.2,1.06,0.2,1.1765,1.7755,73.9792
2013,COLUMBIA CONSERVATION DISTRICT-13-61-NA-NA-2013-03-19-0-3,,COLUMBIA CONSERVATION DISTRICT,,13-61,Columbia,,,,2013-03-19,0-3,0,3,,,,1.34,0.9113,3.12,5.5,7.34,0.11,0.286,0,,15.8,11.3057,3.6,3.2803,2.9,2.6425,29,38.4,620,1.5857,7.5,2.2,0.02,4,3.6448,0.1,2,1.23,80,11.8,0.26,18,5,1500,267.52,4.6,1.06,0.2,1.2578,0.7952,132.5333
2013,COLUMBIA CONSERVATION DISTRICT-13-61-NA-NA-2013-03-19-3-6,,COLUMBIA CONSERVATION DISTRICT,,13-61,Columbia,,,,2013-03-19,3-6,3,6,,,,1.38,0.9385,2.6,5,7.14,0.09,0.234,0,,15.3,10.0796,2.7,2.5337,5,4.692,34,42.4,254,0.6496,7.6,1.8,0.03,5,4.692,0.08,1.1,1.49,95,27.5,0.25,29,84,1520,218.88,6.9,1.06,0.2,1.2153,0.6429,107.15
2013,COLUMBIA CONSERVATION DISTRICT-13-61-NA-NA-2013-03-19-6-12,,COLUMBIA CONSERVATION DISTRICT,,13-61,Columbia,,,,2013-03-19,6-12,6,12,,,,1.33,1.8091,1.72,5.7,7.42,0.08,0.208,0,,18.7,13.6101,2,3.6176,1.7,3.075,24,39.2,262,0.6701,10.2,2.7,0.04,3,5.4264,0.09,1,1.45,49,8.5,0.11,4,1,2040,328.32,9.2,1.06,0.2,1.1957,1.0829,90.2417
2013,COLUMBIA CONSERVATION DISTRICT-13-61-NA-NA-2013-03-19-12-24,,COLUMBIA CONSERVATION DISTRICT,,13-61,Columbia,,,,2013-03-19,12-24,12,24,,,,1.32,3.5909,1.46,6.7,,0.08,0.208,0,,18.9,14.7871,2.5,8.976,1.8,6.4627,18,36,210,0.5371,10.5,3.7,0.05,2,7.1808,0.12,1.5,1.32,24,1.3,0.09,0,,2100,449.92,11.5,1.06,0.2,1.1803,1.9056,79.4
